#group	bac.co14.5	bac.co14.4	bac.conps2g.9	bac.co12.6	bac.co14.10	bac.co12g.2	bac.conps1g.3	bac.co14c10	bac.co16.12	bac.co16.1	bac.co12g.3	bac.co14c12	bac.co14c5	bac.co16.11	bac.co14.3	bac.conps2g.1	bac.co16.2	bac.co16.10	bac.co14.2	bac.co12.3	bac.co14c11	bac.co12.12	bac.conps2g.8	bac.co16.4	bac.conps1g.7	bac.co12.1	bac.co12.5	bac.co12g.8	bac.co12.4	bac.co12g.1	bac.co12g.7	bac.co12g.9	bac.co12.11	bac.co14c6	bac.co14.6	bac.conps1g.9	bac.co16.3	bac.co14c4	bac.conps2g.2	bac.conps1g.8	bac.co14.11	bac.co14.12	bac.co12.10	bac.co16.5	bac.co14.1	bac.conps1g.2	bac.co16.6	bac.conps2g.7	bac.co12.2	bac.conps1g.1	bac.conps2g.3
methanotrophy	7	20	44	11	3	13	29	42	98	45	47	44	16	94	1	84	52	7	5	42	4	17	29	7	26	22	21	29	14	43	14	8	19	42	10	13	33	12	34	16	1	10	40	19	18	27	2	44	38	65	43
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	15	36	42	6	3	5	9	0	33	60	25	8	18	11	10	24	49	17	12	9	26	11	0	22	3	19	31	13	27	10	13	8	53	117	16	8	47	65	16	10	2	3	82	5	22	14	11	5	105	30	25
methylotrophy	22	56	86	17	6	18	38	42	131	105	72	48	34	105	11	107	101	24	17	51	30	28	29	29	29	41	52	42	41	53	27	16	72	159	26	21	80	77	49	26	3	13	120	24	38	41	13	49	143	95	68
aerobic_ammonia_oxidation	3	5	1	23	0	1	0	1	4	0	4	10	13	0	17	0	0	37	3	22	45	0	0	1	0	7	5	13	4	4	0	0	0	5	0	0	2	1	1	0	2	65	10	24	2	0	0	0	2	1	0
aerobic_nitrite_oxidation	59	66	51	102	30	51	23	1	160	84	116	46	64	160	43	52	199	120	118	52	37	83	22	308	51	60	80	119	82	278	195	25	135	72	32	14	94	82	45	50	14	58	70	69	23	19	187	81	37	42	20
nitrification	62	71	52	125	30	52	23	2	164	84	120	56	77	160	60	52	199	157	121	74	82	83	22	309	51	67	85	132	86	282	195	25	135	77	32	14	96	83	46	50	16	123	80	93	25	19	187	81	39	43	20
sulfate_respiration	28	35	48	57	32	25	8	14	90	55	60	23	22	97	20	13	75	65	94	25	21	18	21	109	5	12	29	104	24	149	288	49	51	21	25	37	56	30	12	7	1	40	21	16	20	13	85	24	19	13	7
sulfur_respiration	13	42	10	8	10	5	7	0	5	15	16	20	9	7	14	4	23	10	22	11	5	4	1	47	0	3	28	8	6	13	3	3	16	12	26	5	12	11	6	2	8	12	13	0	28	0	52	5	11	4	1
dark_sulfite_oxidation	2	7	4	0	18	2	9	2	2	1	2	0	0	1	13	29	0	53	1	0	25	0	2	10	43	0	0	2	0	1	2	7	0	18	3	0	0	17	25	0	1	4	1	2	2	2	1	6	0	0	22
sulfite_respiration	7	3	21	9	4	0	1	9	48	9	5	3	9	49	3	8	17	19	16	9	5	15	16	43	0	4	17	41	7	119	253	11	21	12	2	18	10	22	4	2	0	11	9	4	9	1	15	5	11	4	3
thiosulfate_respiration	32	48	19	33	30	62	20	5	100	30	55	14	26	93	20	17	51	9	63	20	10	25	2	61	1	21	20	59	38	36	15	95	26	23	50	15	22	29	12	6	14	20	15	22	27	34	44	3	9	14	8
respiration_of_sulfur_compounds	56	76	66	91	61	83	31	15	177	89	121	52	52	177	46	28	132	79	133	48	28	50	24	213	5	37	62	135	65	188	296	136	86	44	71	47	79	40	22	14	15	58	36	38	54	46	171	28	34	25	13
arsenate_detoxification	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	6	6	4	1	2	0	2	3	1	4	0	2	10	0	2	11	5	1	1	5	0	45	0	2	3	24	8	0	0	0	11	2	1	2	3	2	1	0	0	2	0	0	6	0	49	1	1	0	0
dissimilatory_arsenate_reduction	0	0	6	9	4	1	2	0	2	3	1	4	1	2	10	1	2	11	5	1	1	8	0	45	0	2	3	24	10	0	0	0	11	2	1	2	3	2	1	0	0	2	0	0	6	0	49	1	1	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	27	0	0	0	0	11	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	13	23	61	75	55	23	11	382	55	50	69	65	55	52	12	58	60	6	35	82	12	47	14	44	19	55	29	100	66	14	18	34	96	47	11	56	36	20	22	36	1	27	21	290	15	27	82	43	15	20	17
nitrite_denitrification	13	23	61	75	55	23	11	382	55	50	69	65	55	52	12	58	60	6	35	82	12	47	14	44	19	55	29	100	66	14	18	34	96	47	11	56	36	20	22	36	1	27	21	290	15	27	82	43	15	20	17
nitrous_oxide_denitrification	13	23	61	75	55	23	11	382	55	50	69	65	55	52	12	58	60	6	35	82	12	47	14	44	19	55	29	100	66	14	18	34	96	47	11	56	36	20	22	36	1	27	21	290	15	27	82	43	15	20	17
denitrification	13	23	61	75	55	23	11	382	55	50	69	65	55	52	12	58	60	6	35	82	12	47	14	44	19	55	29	100	66	14	18	34	96	47	11	56	36	20	22	36	1	27	21	290	15	27	82	43	15	20	17
chitinolysis	2	24	149	26	8	7	17	0	57	34	2	65	47	35	0	27	45	0	14	7	42	11	20	1	6	31	28	109	131	5	13	3	12	32	1	11	17	47	30	7	5	5	45	0	104	11	0	13	28	34	29
knallgas_bacteria	4	13	39	36	28	2	3	5	65	45	70	9	18	47	2	5	14	4	19	12	1	27	4	71	0	14	5	25	10	2	2	5	15	20	13	13	34	5	6	5	0	16	7	26	9	19	94	13	4	29	7
dark_hydrogen_oxidation	28	75	61	72	132	69	11	9	139	66	94	33	55	113	27	21	41	12	76	25	28	59	4	111	0	42	27	47	50	57	28	109	60	118	52	27	44	53	17	7	35	86	32	101	47	29	132	20	37	37	13
nitrogen_fixation	69	161	141	73	189	82	102	44	239	142	187	84	103	217	161	123	185	120	200	83	252	49	78	457	55	88	132	86	86	165	80	66	89	213	201	84	142	144	77	113	65	85	174	68	103	127	159	87	150	153	156
nitrate_ammonification	13	45	39	1	11	6	5	0	46	45	73	5	3	36	5	7	31	4	26	5	5	0	4	47	0	0	6	29	3	9	4	6	4	24	37	16	38	8	3	3	8	24	5	0	29	1	90	10	3	4	4
nitrite_ammonification	13	45	39	1	11	6	5	0	46	45	73	5	3	36	5	7	31	4	26	5	5	0	4	47	0	0	6	29	3	9	4	6	4	24	37	16	38	8	3	3	8	24	5	0	29	1	90	10	3	4	4
nitrite_respiration	30	75	155	91	67	37	22	382	173	117	189	91	71	126	18	71	121	16	66	90	27	78	25	117	20	78	49	181	90	28	29	41	140	88	48	72	107	36	29	40	11	70	26	290	52	28	207	62	25	29	25
cellulolysis	45	100	283	120	80	253	35	30	285	170	68	128	73	324	39	41	185	432	106	48	70	52	68	221	96	58	58	262	109	99	255	244	46	78	91	42	170	397	78	62	5	251	91	119	30	34	190	135	103	71	79
xylanolysis	146	397	584	316	474	591	899	923	483	351	234	232	152	582	161	188	480	788	452	120	213	231	974	716	290	105	129	464	140	224	759	772	244	292	255	297	418	313	247	542	44	487	205	450	104	300	505	587	158	649	243
dark_sulfide_oxidation	0	4	11	5	2	1	11	0	8	11	3	10	6	7	0	4	15	0	2	6	3	4	2	2	24	8	2	15	16	15	7	6	15	7	1	9	15	9	8	2	0	21	0	0	2	10	0	6	2	11	6
dark_sulfur_oxidation	2	11	14	6	25	3	17	5	8	1	2	21	2	3	13	55	2	53	3	8	28	2	13	12	75	10	2	4	4	17	7	14	0	23	2	41	2	23	36	2	1	26	1	8	3	16	1	13	3	14	28
dark_thiosulfate_oxidation	6	29	18	199	38	13	38	38	27	32	14	50	12	21	15	64	42	65	16	64	45	36	13	24	86	42	13	37	38	29	12	15	22	44	10	49	30	46	36	10	2	120	47	19	23	35	3	9	42	35	36
dark_oxidation_of_sulfur_compounds	6	34	28	210	39	17	39	38	29	36	20	61	14	24	15	65	68	65	20	70	47	41	15	27	86	48	15	47	44	31	14	21	25	55	11	49	33	49	41	10	2	122	47	19	25	35	11	17	45	36	38
manganese_oxidation	59	117	118	23	133	46	68	64	50	55	63	14	52	49	69	97	83	129	62	32	312	21	128	76	90	20	66	50	46	75	25	44	39	230	104	55	71	93	107	94	198	150	97	190	82	61	231	92	77	139	254
manganese_respiration	1	0	6	0	0	0	1	0	3	0	3	7	10	3	0	3	2	4	1	2	0	1	1	1	0	4	7	0	3	2	0	0	1	4	1	9	0	8	6	12	0	15	2	1	2	3	0	16	3	4	1
ligninolysis	0	1	0	20	0	3	0	0	0	0	5	11	6	1	0	0	6	0	2	1	15	1	0	3	0	11	0	0	10	0	0	0	2	0	0	0	3	18	0	0	0	3	1	0	9	0	2	0	0	0	0
fermentation	320	539	935	453	770	766	293	151	889	484	432	366	407	892	193	319	616	699	769	275	615	373	241	526	158	349	349	707	532	713	769	792	567	447	530	246	444	528	312	346	94	1199	358	524	373	313	498	759	264	407	348
aerobic_chemoheterotrophy	2286	4043	3481	2420	5914	3805	4591	4419	3583	3423	4140	2446	2696	3299	2106	4467	3988	5531	4766	2157	3840	2282	3297	4430	2868	1860	2510	3043	2961	3812	2853	4918	2799	4229	3249	3846	2977	4507	3423	3572	7196	4544	4238	5658	3067	5027	6400	4387	4095	4933	3631
invertebrate_parasites	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	5	0	0	1	1	0	0	0	0	3	0	0	0	0	0	3	0	0
human_pathogens_septicemia	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
human_pathogens_pneumonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	25	32	20	5	31	32	76	119	38	43	41	110	25	31	31	53	56	68	79	14	24	16	17	84	67	15	22	7	16	32	41	65	32	71	39	444	29	70	23	70	13	9	81	58	32	430	96	28	49	77	53
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0	0	2	0	0	0	0	0	2	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mammal_gut	0	0	2	0	0	0	0	0	2	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
animal_parasites_or_symbionts	27	32	23	5	31	32	76	119	46	45	42	110	25	40	31	53	64	70	79	14	24	22	19	85	67	15	22	27	18	35	48	67	33	76	40	444	34	71	24	70	13	9	84	58	32	430	100	28	52	77	53
plant_pathogen	0	6	12	11	4	1	2	0	19	27	10	22	8	24	1	4	23	1	0	11	90	20	1	67	5	0	13	8	6	12	5	3	24	22	0	1	12	69	3	0	0	2	31	0	21	16	2	1	15	19	12
oil_bioremediation	4	4	48	2	25	17	3	0	6	0	3	0	0	3	0	6	6	0	18	1	43	5	0	0	1	5	3	5	1	7	1	18	7	2	4	0	1	14	3	5	0	29	1	9	2	0	5	9	1	1	7
aromatic_hydrocarbon_degradation	36	13	6	0	3	2	22	0	23	10	37	1	8	22	2	40	24	0	11	4	10	20	3	7	0	8	6	16	12	15	3	5	6	37	43	5	23	37	6	7	0	1	7	1	4	32	5	12	7	9	2
aromatic_compound_degradation	131	73	46	47	25	52	114	15	557	83	91	70	101	502	38	173	129	55	143	89	77	60	127	41	26	68	82	185	92	63	37	36	53	126	79	426	96	147	88	44	30	15	190	191	71	470	114	70	274	105	60
aliphatic_non_methane_hydrocarbon_degradation	39	20	58	14	55	18	13	25	40	20	25	11	14	39	4	52	45	260	23	8	56	12	22	7	5	18	8	63	14	23	3	22	16	43	46	5	30	45	16	13	1	45	11	12	11	10	8	26	15	11	17
hydrocarbon_degradation	48	49	106	30	65	40	55	68	149	69	89	58	37	143	5	144	104	270	40	52	58	46	43	25	32	50	40	99	48	67	21	47	40	90	60	19	71	68	53	30	9	72	51	42	82	61	65	66	47	84	56
dark_iron_oxidation	10	17	50	1	85	23	32	52	8	14	7	2	5	5	28	2	6	5	7	4	114	1	21	9	57	11	1	5	2	69	54	12	3	76	10	18	10	11	19	11	8	60	9	201	42	17	34	16	6	41	98
iron_respiration	129	201	361	60	202	310	191	124	357	271	425	88	59	283	61	210	330	212	252	72	192	138	109	397	139	132	241	173	206	220	211	224	217	191	188	135	211	117	120	192	25	213	225	169	148	289	589	406	155	275	215
nitrate_respiration	128	253	558	203	387	360	136	415	472	318	328	225	190	393	33	243	356	114	321	198	483	234	182	565	333	184	171	296	222	147	159	260	334	364	162	165	205	328	170	236	136	285	269	376	162	176	325	560	147	247	244
nitrate_reduction	554	627	892	414	1238	990	513	954	1041	729	1279	519	447	910	411	657	978	883	1269	476	925	522	367	1462	809	373	498	698	564	777	503	1108	679	648	756	850	656	744	508	512	299	1054	529	1292	555	856	1519	884	354	742	479
nitrogen_respiration	128	253	564	209	387	360	136	415	501	318	328	229	190	404	33	243	360	115	321	199	483	242	182	565	333	186	174	320	230	147	159	260	345	366	162	165	205	330	170	236	136	285	269	376	162	176	325	561	148	247	244
fumarate_respiration	70	115	334	41	159	315	77	6	222	114	138	79	57	180	16	114	124	37	177	40	167	78	96	128	57	32	34	78	61	61	51	259	81	118	108	97	70	95	54	162	14	160	133	22	58	123	171	377	67	188	157
intracellular_parasites	24	34	100	4	98	5	10	91	63	9	28	15	10	44	8	24	21	56	22	8	73	27	987	16	98	5	9	26	32	128	250	23	27	58	17	116	14	16	69	27	2	68	20	87	107	14	9	32	3	49	50
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	24	18	123	32	29	6	6	0	70	52	15	68	54	83	0	19	47	12	23	20	22	54	48	22	2	38	35	70	33	10	13	26	162	86	17	13	33	36	13	7	0	48	33	1	32	9	82	105	19	26	29
chloroplasts	12	27	14	3	5	1	2	0	62	15	6	11	4	46	1	7	18	5	2	9	3	8	3	7	0	9	8	42	1	6	7	10	24	5	29	41	17	0	25	7	1	58	22	0	3	0	2	4	12	2	17
cyanobacteria	1	6	6	0	0	1	0	0	31	14	8	1	0	36	0	0	1	0	0	0	0	2	0	19	0	0	1	14	0	0	0	0	4	2	0	0	2	1	0	0	0	1	0	0	0	0	0	7	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	0	3	0	4	0	0	1	0	7	5	0	2	7	3	1	1	12	5	3	5	5	5	3	6	0	16	2	5	3	6	0	0	2	2	0	1	1	5	0	3	0	10	6	5	2	1	5	0	6	0	2
anoxygenic_photoautotrophy_S_oxidizing	7	35	96	169	91	33	53	470	123	73	16	57	65	117	8	50	104	61	30	59	32	103	64	91	121	89	46	78	63	25	25	18	107	51	22	56	51	29	65	50	10	65	44	190	15	76	73	77	12	61	40
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	1	0	0	1	0	7	0	0	2	4	3	0	0	4	0	0	4	0	0	3	0	0	11	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	3	3	0	0	1	5	0	0	0	1
anoxygenic_photoautotrophy	7	38	106	174	91	40	53	470	128	74	16	61	69	121	9	53	107	66	32	65	37	108	64	91	121	97	48	87	64	31	25	18	107	56	22	57	52	34	67	50	10	72	47	195	17	76	73	77	18	61	41
oxygenic_photoautotrophy	1	6	6	0	0	1	0	0	31	14	8	1	0	36	0	0	1	0	0	0	0	2	0	19	0	0	1	14	0	0	0	0	4	2	0	0	2	1	0	0	0	1	0	0	0	0	0	7	0	0	0
photoautotrophy	8	44	112	174	91	41	53	470	159	88	24	62	69	157	9	53	108	66	32	65	37	110	64	110	121	97	49	101	64	31	25	18	111	58	22	57	54	35	67	50	10	73	47	195	17	76	73	84	18	61	41
aerobic_anoxygenic_phototrophy	17	55	29	12	24	12	96	167	30	29	23	26	28	18	19	90	21	44	23	22	33	3	48	4	88	22	20	12	25	96	8	10	24	63	20	105	25	34	76	48	20	27	110	53	28	149	38	38	98	156	95
photoheterotrophy	22	78	90	131	47	57	136	194	139	73	50	80	68	128	37	134	76	91	44	69	54	50	76	42	146	58	44	70	54	146	76	24	80	104	36	162	51	49	108	104	30	68	138	100	38	171	121	93	118	234	124
phototrophy	28	106	150	190	129	70	152	637	229	133	60	98	99	217	39	151	141	110	64	85	73	117	117	122	213	110	73	133	91	161	94	32	150	139	50	182	83	77	152	120	31	123	162	243	48	229	134	130	128	245	141
plastic_degradation	11	24	4	22	62	3	4	26	22	20	67	3	8	19	21	2	14	1	35	2	6	9	1	8	5	2	1	59	7	59	21	3	8	12	22	0	15	6	1	2	0	34	4	122	25	0	33	3	0	1	5
ureolysis	283	516	310	126	820	246	318	317	373	410	410	192	231	307	380	369	485	424	506	136	1016	245	159	712	200	145	322	285	294	736	231	273	294	704	388	226	371	798	275	338	193	389	413	329	485	382	642	266	360	316	332
reductive_acetogenesis	13	27	6	9	74	6	3	1	30	16	6	21	22	16	4	9	10	3	10	0	18	19	0	5	0	13	8	7	10	28	17	11	33	83	9	3	7	27	4	2	18	61	10	54	21	2	12	7	22	2	2
chemoheterotrophy	2637	4507	4036	2841	6442	4026	4822	4564	4701	3862	4565	2829	3073	4323	2257	4817	4513	5808	5356	2438	4308	2610	3460	4702	2905	2249	2890	3749	3586	4467	3359	5300	3345	4741	3715	4019	3360	5085	3693	3739	7294	5338	4644	6218	3509	5247	6676	4713	4379	5233	3863
